Interactor1	Interactor2	Interaction
P01854	P01854	R-HSA-2685660
P01834	Q01362	R-HSA-2685660
P01834	P01854	R-HSA-2685660
P01834	P30273	R-HSA-2685660
Q01362	P12319	R-HSA-2685660
P12319	P12319	R-HSA-2685660
Q01362	Q01362	R-HSA-2685660
P01854	P12319	R-HSA-2685660
P01834	P01834	R-HSA-2685660
Q01362	P30273	R-HSA-2685660
P30273	P30273	R-HSA-2685660
P30273	P12319	R-HSA-2685660
P01854	Q01362	R-HSA-2685660
P01854	P30273	R-HSA-2685660
Q7Z3Y9	Q7Z3Z0	R-HSA-6814323
P20930	P20930	R-HSA-6814323
Q7Z3Y7	Q7Z3Z0	R-HSA-6814323
Q7Z3Y8	Q7Z3Z0	R-HSA-6814323
Q7Z3Z0	P20930	R-HSA-6814323
Q7Z3Y7	P20930	R-HSA-6814323
Q7Z3Z0	Q7Z3Z0	R-HSA-6814323
Q7Z3Y9	P20930	R-HSA-6814323
Q7Z3Y7	Q7Z3Y9	R-HSA-6814323
Q7Z3Y9	Q7Z3Y9	R-HSA-6814323
Q7Z3Y8	P20930	R-HSA-6814323
Q7Z3Y7	Q7Z3Y7	R-HSA-6814323
Q7Z3Y7	Q7Z3Y8	R-HSA-6814323
Q7Z3Y9	Q7Z3Y8	R-HSA-6814323
Q7Z3Y8	Q7Z3Y8	R-HSA-6814323
P35555	P35555	R-HSA-2159874
P35556	P35556	R-HSA-2159861
Q75N90	Q75N90	R-HSA-2159866
P02751	P02751	R-HSA-2327729
P34059	P34059	R-HSA-1630327
P06396	P06396	R-HSA-976919
P01242	P01242	R-HSA-982799
P01242	P01241	R-HSA-982799
P01241	P01241	R-HSA-982799
Q68CP4	Q68CP4	R-HSA-1678773
P04792	P04792	R-HSA-5218689
P11142	P07900	R-HSA-9626247
P11142	P08238	R-HSA-9626247
P08238	P13473	R-HSA-9626247
P07900	P08238	R-HSA-9626247
P11142	P11142	R-HSA-9626247
P07900	P07900	R-HSA-9626247
P08238	P08238	R-HSA-9626247
P07900	P13473	R-HSA-9626247
P13473	P13473	R-HSA-9626247
P11142	P13473	R-HSA-9626247
P10997	P10997	R-HSA-976981
Q9Y4K3	Q9Y4K3	R-HSA-5607625
Q14954	Q14954	R-HSA-2272704
P13647	P13647	R-HSA-446069
P02533	P02533	R-HSA-446069
Q7Z3Y9	Q7Z3Y8	R-HSA-6809669
Q7Z3Y7	Q7Z3Y8	R-HSA-6809669
Q7Z3Y8	Q7Z3Z0	R-HSA-6809669
Q7Z3Z0	Q7Z3Z0	R-HSA-6809669
Q7Z3Y9	Q7Z3Y9	R-HSA-6809669
Q7Z3Y7	Q7Z3Y9	R-HSA-6809669
Q7Z3Y9	Q7Z3Z0	R-HSA-6809669
Q7Z3Y7	Q7Z3Z0	R-HSA-6809669
Q7Z3Y7	Q7Z3Y7	R-HSA-6809669
Q7Z3Y8	Q7Z3Y8	R-HSA-6809669
